iter	Passed	Remaining
0	0	65
1	1	56
2	1	52
3	2	48
4	2	48
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	42
11	5	41
12	6	40
13	6	40
14	7	39
15	7	39
16	7	38
17	8	37
18	8	37
19	9	37
20	9	37
21	10	37
22	10	36
23	11	36
24	12	36
25	12	35
26	12	34
27	13	34
28	14	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	16	31
35	17	31
36	18	30
37	18	30
38	19	29
39	19	29
40	20	28
41	20	27
42	20	27
43	21	27
44	21	26
45	22	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	27	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
