iter	Passed	Remaining
0	146	146104
1	147	73472
2	148	49245
3	150	37389
4	152	30371
5	154	25630
6	155	22033
7	156	19365
8	158	17455
9	160	15906
10	162	14653
11	164	13584
12	166	12642
13	167	11765
14	168	11075
15	169	10436
16	170	9841
17	171	9370
18	173	8948
19	174	8552
20	175	8195
21	177	7879
22	178	7585
23	179	7307
24	180	7050
25	181	6816
26	182	6593
27	184	6391
28	185	6200
29	186	6016
30	187	5854
31	188	5691
32	188	5537
33	189	5388
34	190	5248
35	191	5117
36	191	4991
37	192	4878
38	193	4769
39	194	4662
40	194	4560
41	195	4462
42	196	4366
43	196	4275
44	197	4187
45	197	4103
46	198	4022
47	198	3944
48	199	3871
49	199	3799
50	200	3730
51	200	3663
52	201	3597
53	201	3535
54	202	3476
55	202	3419
56	203	3363
57	203	3309
58	204	3257
59	204	3207
60	205	3158
61	205	3110
62	206	3063
63	206	3020
64	207	2980
65	207	2938
66	208	2899
67	208	2861
68	209	2822
69	209	2786
70	210	2751
71	210	2718
72	211	2684
73	211	2652
74	212	2619
75	212	2587
76	213	2556
77	213	2526
78	214	2498
79	214	2471
80	215	2443
81	215	2417
82	216	2388
83	216	2364
84	217	2339
85	217	2315
86	218	2292
87	218	2269
88	219	2246
89	219	2223
90	220	2201
91	220	2179
92	221	2158
93	221	2139
94	222	2119
95	223	2100
96	223	2080
97	224	2062
98	224	2044
99	225	2026
100	225	2009
101	226	1991
102	226	1974
103	227	1956
104	227	1940
105	228	1924
106	228	1908
107	229	1893
108	229	1878
109	230	1863
110	230	1849
111	231	1835
112	232	1821
113	232	1807
114	233	1794
115	233	1780
116	233	1765
117	234	1753
118	235	1740
119	235	1727
120	235	1714
121	236	1700
122	236	1689
123	237	1678
124	238	1666
125	238	1655
126	239	1643
127	239	1632
128	240	1621
129	240	1611
130	241	1601
131	241	1590
132	242	1579
133	242	1569
134	243	1558
135	243	1548
136	244	1538
137	244	1529
138	245	1519
139	245	1510
140	246	1501
141	246	1491
142	247	1482
143	247	1474
144	248	1465
145	249	1456
146	249	1447
147	250	1439
148	250	1431
149	251	1422
150	251	1414
151	252	1406
152	252	1399
153	253	1392
154	253	1384
155	254	1376
156	254	1368
157	255	1361
158	256	1354
159	256	1346
160	256	1338
161	257	1330
162	257	1323
163	258	1315
164	258	1308
165	258	1301
166	259	1294
167	260	1288
168	260	1282
169	261	1276
170	261	1270
171	262	1264
172	263	1257
173	263	1251
174	264	1245
175	264	1239
176	265	1232
